"Table 1.1.6. Real Gross Domestic Product, Chained Dollars"
"Table 1.1.6. Real Gross Domestic Product, Chained Dollars"
"Last Revised on: September 25, 2025 - Next Release Date October 30, 2025"
Line,,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,"        Gross domestic product",8400.8,8474.8,8604.2,8668.2,8749.1,8788.5,8872.6,8920.2,8986.4,9083.3,9162.0,9319.3,9367.5,9490.6,9546.2,9673.4,9771.7,9846.3,9919.2,9938.8,10047.4,10083.9,10090.6,9998.7,9951.9,10029.5,10080.2,10115.3,10236.4,10347.4,10449.7,10558.6,10576.3,10637.8,10688.6,10834.0,10939.1,11087.4,11152.2,11279.9,11320.0,11353.7,11450.3,11528.1,11614.4,11808.1,11914.1,12037.8,12115.5,12317.2,12471.0,12577.5,12703.7,12821.3,12982.8,13191.7,13315.6,13426.7,13604.8,13828.0,13878.1,14130.9,14145.3,14229.8,14183.1,14271.7,14214.5,14253.6,14372.8,14460.8,14519.6,14537.6,14614.1,14743.6,14988.8,15162.8,15248.7,15366.9,15512.6,15670.9,15844.7,15922.8,16047.6,16136.7,16353.8,16396.2,16420.7,16561.9,16611.7,16713.3,16809.6,16915.2,16843.0,16943.3,16854.3,16485.4,16298.3,16269.1,16326.3,16502.8,16582.7,16743.2,16872.3,16960.9,16920.6,17035.1,17031.3,17222.6,17367.0,17444.5,17469.7,17489.9,17662.4,17709.7,17860.5,18016.1,17954.0,18185.9,18406.9,18500.0,18666.6,18782.2,18857.4,18892.2,19001.7,19062.7,19197.9,19304.4,19398.3,19506.9,19660.8,19882.4,20044.1,20150.5,20276.2,20304.9,20431.6,20602.3,20843.3,20985.4,20709.2,19078.0,20558.9,20791.9,21082.1,21440.9,21617.8,21988.7,21932.7,21967.0,22125.6,22278.3,22439.6,22580.5,22841.0,23033.8,23082.1,23286.5,23478.6,23586.5,23548.2,23771.0
2,Personal consumption expenditures,5321.2,5370.0,5472.0,5483.9,5531.8,5592.1,5691.0,5725.8,5731.2,5809.4,5875.6,5888.1,5992.1,6036.4,6090.0,6159.2,6187.8,6216.7,6276.9,6304.2,6357.2,6376.6,6401.8,6353.1,6329.2,6381.7,6413.5,6410.3,6530.3,6574.7,6645.1,6724.3,6750.1,6811.5,6887.3,6947.8,7027.3,7081.9,7135.9,7213.1,7231.0,7294.4,7360.5,7411.9,7480.2,7560.7,7606.5,7667.1,7747.9,7782.8,7915.4,8010.0,8091.0,8233.5,8340.8,8461.3,8548.2,8679.1,8776.7,8905.1,9039.7,9124.2,9211.6,9292.1,9325.8,9344.5,9377.0,9528.3,9549.5,9597.8,9665.0,9718.7,9766.6,9878.4,10018.1,10087.1,10181.1,10236.7,10356.9,10474.1,10540.6,10657.4,10745.9,10765.7,10883.1,10939.5,11009.7,11114.8,11183.3,11212.7,11287.5,11331.9,11316.4,11347.6,11260.1,11158.8,11130.5,11075.7,11150.2,11137.9,11202.5,11303.0,11383.6,11453.4,11497.1,11509.0,11544.0,11563.9,11647.3,11667.8,11691.4,11738.0,11814.3,11848.1,11896.3,12001.0,12044.2,12159.9,12280.1,12421.6,12516.9,12603.1,12691.8,12743.4,12839.6,12903.3,12993.1,13060.1,13160.5,13225.7,13315.4,13460.9,13558.4,13631.0,13693.8,13736.6,13758.3,13875.7,14033.2,14125.3,13887.0,12685.3,13813.7,14001.4,14319.6,14820.0,14943.2,15086.9,15100.9,15224.4,15295.8,15326.2,15495.8,15553.7,15671.9,15789.7,15857.7,16009.6,16165.8,16320.9,16345.8,16445.7
3,"    Goods",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3397.3,3405.2,3426.7,3433.4,3377.0,3371.9,3301.3,3200.6,3201.5,3180.9,3236.3,3219.0,3243.2,3287.4,3312.1,3358.2,3374.9,3362.5,3363.7,3388.0,3430.9,3430.3,3445.4,3469.9,3533.3,3541.0,3569.9,3605.2,3632.2,3700.5,3742.3,3795.9,3845.0,3886.1,3930.2,3948.6,3990.7,4025.5,4068.5,4094.3,4131.2,4175.1,4226.8,4315.7,4355.3,4365.7,4385.6,4408.2,4420.5,4496.8,4561.0,4576.0,4555.8,4456.4,4929.8,4955.6,5160.9,5356.7,5233.5,5279.6,5253.6,5248.3,5215.8,5185.9,5276.6,5282.1,5338.8,5367.6,5349.5,5421.0,5501.9,5594.7,5597.4,5628.4
4,"        Durable goods",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,969.9,980.1,992.1,999.5,967.2,960.3,927.9,859.6,861.1,854.9,896.4,875.3,886.0,913.9,928.2,954.2,962.6,955.8,964.3,987.4,1011.5,1013.4,1026.6,1049.8,1076.2,1081.5,1091.3,1102.5,1121.0,1162.8,1183.0,1205.8,1228.9,1253.7,1270.1,1278.3,1295.3,1306.3,1339.8,1360.8,1371.7,1389.2,1424.9,1477.8,1496.9,1505.6,1516.4,1518.9,1505.4,1549.2,1585.7,1598.6,1534.7,1530.6,1811.3,1823.6,1949.6,2027.8,1895.5,1924.3,1924.1,1917.9,1910.6,1887.3,1967.1,1967.5,1997.8,1998.9,1994.3,2031.8,2074.0,2138.4,2120.1,2132.2
5,"        Nondurable goods",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2435.0,2429.9,2437.5,2435.5,2416.6,2420.4,2385.1,2362.3,2361.4,2347.3,2354.7,2362.3,2374.8,2387.9,2396.8,2414.6,2422.7,2417.5,2409.3,2408.7,2426.3,2423.6,2424.8,2424.8,2461.5,2463.7,2482.7,2506.7,2514.7,2540.3,2561.8,2592.4,2618.2,2634.0,2661.6,2671.7,2696.7,2720.4,2729.1,2733.6,2759.5,2785.8,2801.8,2838.1,2858.9,2860.8,2870.0,2889.7,2914.9,2947.9,2976.4,2979.1,3020.0,2926.1,3123.8,3137.3,3218.6,3336.3,3342.6,3360.0,3334.4,3335.0,3310.1,3302.6,3317.3,3322.2,3349.4,3376.1,3362.8,3398.0,3438.2,3470.2,3488.9,3507.9
6,"    Services",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7785.6,7807.3,7860.9,7900.1,7952.0,7991.3,7984.1,7997.2,7965.7,7931.7,7944.7,7952.2,7992.0,8046.0,8101.9,8121.5,8147.7,8174.9,8210.4,8202.5,8239.8,8262.1,8269.4,8289.8,8296.0,8322.6,8339.9,8408.9,8423.2,8466.5,8544.3,8631.2,8675.8,8719.8,8763.4,8796.5,8850.1,8878.6,8925.0,8966.0,9029.3,9050.5,9088.4,9145.3,9203.4,9265.6,9308.6,9329.1,9338.8,9381.2,9474.6,9550.2,9334.4,8250.8,8912.8,9071.6,9191.4,9497.9,9734.6,9832.1,9871.0,9998.8,10101.3,10159.9,10240.0,10291.4,10353.8,10441.9,10524.4,10606.8,10685.1,10752.1,10773.6,10842.3
7,Gross private domestic investment,1169.4,1189.3,1181.2,1224.8,1224.4,1203.0,1170.7,1174.2,1205.9,1206.5,1206.7,1288.9,1227.0,1256.2,1263.2,1282.5,1326.0,1313.2,1301.4,1291.8,1304.6,1305.0,1279.7,1208.1,1167.9,1167.9,1191.0,1233.3,1210.5,1278.9,1289.1,1328.4,1359.8,1367.6,1358.3,1429.7,1484.1,1557.1,1531.7,1594.7,1611.4,1578.0,1568.6,1607.5,1633.3,1711.8,1789.6,1787.2,1823.3,1935.2,1962.1,1990.9,2078.2,2065.3,2119.0,2183.4,2243.5,2244.7,2306.5,2368.0,2351.2,2490.5,2466.4,2471.5,2359.0,2362.7,2311.4,2196.6,2262.1,2298.9,2296.0,2293.7,2312.5,2327.5,2411.6,2493.9,2498.1,2597.5,2638.7,2693.6,2769.3,2733.2,2769.1,2857.4,2899.2,2882.6,2871.6,2818.2,2800.0,2827.0,2794.5,2762.5,2687.0,2641.9,2589.3,2338.9,2073.1,1952.6,1946.9,2128.5,2174.3,2288.5,2390.1,2383.3,2338.9,2434.5,2445.3,2633.8,2692.2,2752.6,2759.9,2736.4,2845.4,2882.5,2999.0,3027.8,2998.1,3121.3,3193.2,3203.4,3314.9,3328.0,3335.3,3315.3,3301.1,3287.0,3301.1,3391.7,3382.7,3435.9,3493.2,3558.9,3612.9,3612.4,3722.2,3724.8,3755.5,3790.0,3819.9,3770.4,3676.3,3163.5,3755.5,3878.9,3849.3,3799.0,3937.3,4191.8,4272.4,4177.0,4105.3,4185.0,4108.5,4180.8,4275.5,4313.2,4296.3,4382.0,4392.2,4315.6,4547.9,4382.8
8,"    Fixed investment",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2787.0,2800.1,2784.1,2757.4,2714.7,2692.4,2624.4,2451.1,2256.2,2174.4,2182.5,2193.5,2192.7,2272.7,2285.2,2328.8,2325.3,2380.0,2480.4,2544.2,2624.0,2677.2,2681.3,2729.4,2782.6,2811.7,2863.4,2910.2,2946.0,3032.7,3094.5,3137.3,3150.3,3184.5,3220.3,3219.5,3243.2,3267.1,3303.6,3333.7,3376.9,3410.5,3436.6,3516.0,3576.8,3613.8,3623.5,3632.8,3643.1,3710.7,3750.1,3739.5,3711.1,3419.8,3642.2,3784.3,3861.3,3918.9,3906.5,3936.0,4000.5,4019.8,3997.2,3992.1,4039.7,4132.3,4171.2,4218.5,4249.7,4264.9,4281.3,4260.3,4333.6,4380.5
9,"        Nonresidential",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1940.4,1983.5,2014.6,2045.7,2053.8,2058.0,2019.6,1901.9,1758.6,1705.1,1695.2,1706.6,1718.7,1775.3,1823.7,1859.4,1857.3,1905.7,1995.4,2046.6,2099.3,2146.7,2139.6,2162.9,2196.3,2207.6,2248.2,2302.2,2339.4,2406.4,2458.5,2479.9,2481.1,2498.4,2513.6,2502.5,2504.6,2525.9,2564.0,2584.6,2610.4,2639.8,2665.2,2728.9,2805.3,2837.1,2854.6,2880.4,2899.8,2955.0,2983.5,2970.3,2918.1,2681.1,2796.6,2875.4,2939.9,3010.9,2999.3,3022.1,3110.1,3163.4,3210.2,3266.0,3333.3,3421.8,3436.4,3483.0,3496.0,3517.5,3547.6,3514.4,3595.4,3659.3
10,"            Structures",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,582.4,614.7,644.2,660.7,663.7,674.7,670.6,655.1,606.4,559.9,521.8,477.6,446.0,459.0,452.6,461.6,428.2,458.4,486.1,503.2,527.4,540.3,534.3,524.0,513.0,526.6,552.0,557.4,578.1,598.9,600.8,611.2,604.9,613.4,597.2,577.1,557.4,570.2,592.9,598.4,597.8,599.3,586.4,596.2,631.3,633.9,634.8,616.9,619.2,639.1,664.5,653.2,643.3,569.2,560.9,564.9,573.7,574.6,569.2,556.8,567.5,579.7,594.6,611.0,653.1,683.6,695.0,713.8,704.8,697.8,693.9,679.5,674.2,661.2
11,"            Equipment",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,827.9,839.4,843.6,848.6,844.0,833.8,807.6,713.6,634.1,609.0,624.4,653.3,699.5,745.1,785.2,801.2,821.0,832.3,882.4,902.8,930.9,957.2,954.4,973.4,993.7,995.4,998.0,1038.9,1049.4,1077.7,1111.2,1105.8,1117.4,1122.2,1140.9,1128.4,1125.4,1113.8,1112.6,1118.1,1125.4,1146.8,1165.9,1201.7,1223.0,1225.1,1225.1,1241.2,1248.0,1260.7,1241.9,1213.8,1153.1,1019.9,1126.6,1174.5,1190.2,1224.3,1188.3,1186.8,1223.5,1225.7,1233.8,1241.4,1240.6,1278.0,1269.6,1279.9,1281.4,1309.0,1335.0,1320.6,1386.0,1414.7
12,"            Intellectual property products",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,546.1,549.8,551.7,563.3,573.9,579.5,572.7,568.6,553.1,567.0,572.8,590.2,580.2,577.3,588.5,599.6,605.7,615.6,628.1,642.4,643.8,652.0,653.3,666.1,688.2,685.5,699.8,706.4,713.3,731.4,747.2,764.2,759.6,763.8,775.9,796.9,821.3,841.9,858.9,868.5,887.4,893.7,912.9,931.0,950.8,977.9,994.5,1022.8,1033.4,1055.7,1076.5,1102.5,1119.9,1090.9,1110.7,1138.8,1178.7,1215.8,1245.3,1284.0,1326.2,1365.4,1388.3,1419.5,1438.6,1455.2,1465.5,1480.7,1504.8,1507.3,1517.1,1515.0,1539.0,1593.8
